許志豪,柯良宗,陳世峰,林義翔,張琮貴,陳柏勳,林建良,鄞明村,陳保宏,湯登凱,野野垣武,亞士達,卡巴傑洛
788,789,790,793,794,795,796,799,801,805,806,812,816
34,73,23,88,38,19,27,8,32,7,12,15,5
3,16,8,11,10,3,2,1,3,0,6,3,0
1,2,0,2,1,0,0,0,1,0,1,0,0
1,1,2,2,2,0,1,0,1,0,2,1,0
66,42,51,80,52,25,26,14,36,7,13,13,6
17,8,3,35,13,5,12,6,15,2,6,4,0
3,11,2,1,5,0,0,3,1,1,1,0,0
60,146,48,164,103,39,40,15,49,11,13,44,5
43,78,37,108,44,19,35,13,34,7,18,19,2
228,377,174,491,269,110,143,60,172,35,72,99,18
6,7,6,8,11,5,2,3,7,0,3,7,0
1,0,0,0,1,0,0,2,0,0,0,0,0
23,47,16,51,38,13,13,9,15,3,8,17,2
4,11,4,4,9,1,2,2,0,1,3,0,0
