³¯®p¥Á,³¯¬L¿o,¼ï©¾­³,³¢©÷®x,§f«T¶¯,¶ÀÀs¸q,ªL«Ø§»,¥Û§Ó°¶,¦ã¥±°Ç´µ,½²«Ø°¶,´¿»¨¾s,¨H¨È­Û,³\¶Ç¸Û,Ã¹¼w¨½¯÷,¤ý«Ø±j,¶À¤p°¶,¥Û«Û½n,³¯ª÷¾W,¨©¯÷,¥d²r¤h,­è¤O¤h,ÅQÀs,ÅQº~,¤àµn,¹p®¦´µ,»Å¤O¤h,§E¶i¼w
7,8,12,13,14,16,30,33,37,40,41,47,51,52,53,57,60,64,67,70,87,89,91,95,98,100,273
321,52,433,83,217,451,55,726,2,382,327,1,1,64,47,62,80,485,43,2,27,4,53,8,13,41,184
103,8,83,19,28,121,3,124,0,96,118,0,0,21,12,16,14,112,13,0,9,1,23,3,3,5,25
6,1,6,0,9,18,0,18,0,32,12,0,1,0,2,5,7,9,0,0,0,0,0,0,1,1,4
19,2,46,4,5,56,1,7,1,14,37,0,0,12,5,5,0,132,3,1,2,1,10,4,1,6,4
267,50,412,114,152,537,86,339,3,414,377,4,5,31,54,89,84,543,21,1,17,5,32,9,12,28,123
154,22,113,20,78,207,16,189,2,236,191,1,1,15,13,25,32,358,10,1,13,0,22,8,4,18,57
14,1,34,8,15,31,6,42,0,42,40,1,0,3,5,2,2,27,1,1,1,0,11,0,0,1,0
690,121,640,138,438,731,94,1134,6,736,583,2,7,91,67,105,156,579,43,6,31,5,87,17,14,56,335
473,69,478,106,313,551,60,785,5,447,581,3,3,82,65,69,71,606,53,4,27,7,65,27,14,28,193
2047,326,2245,492,1255,2703,321,3366,19,2399,2266,12,18,319,270,378,447,2851,187,16,127,23,303,76,62,184,925
49,11,68,12,23,55,6,76,2,43,56,0,0,10,5,13,10,60,7,0,4,2,10,4,0,7,28
16,0,19,6,6,15,0,15,0,13,18,0,0,2,4,2,3,36,4,0,0,2,1,0,1,1,2
235,42,243,46,146,242,33,395,4,255,205,1,2,29,19,33,51,208,19,1,10,4,30,7,4,26,116
53,7,59,16,17,54,2,84,0,50,91,0,1,10,10,8,7,90,8,0,1,3,8,4,1,2,18
