張民諺,王俊郎,郭一峰,陳瑞昌,吳俊達,洪一中,查維,林易增,吳復連,黃廣琪,克魯茲,陳義信,帝波,陳琦豐,努那,路易士,周惠盛,李文傳,王光輝,葛雷諾,江仲豪,吳英偉,李居明,吳聲武,姚百川,陳彥成,陳懷山,彭裕國,林百亨,巴比諾,愛迪生,董永興,雷克,強尼,邱麒璋,吳俊億,祈美力,德伍,奧力偉,戴于程,陳建村,陳瑞振,陳谷源,洪德芳,艾德,大德,豪威,吳柏勳,約瑟,朋馳,林明憲,許皓銘,張士凱,陳俊義,馮勝賢,蒲慶哲,王金勇,許閔嵐,李志傑,彭政閔,陳致遠,鄭漢禮,朱鴻森,彭政欣,林馴偉,陳智弘,田顯明,東尼,阿布多,黃志祥,霸茲,陳弘桂,黃泰龍,陳致鵬
34,172,528,547,548,549,550,551,552,556,562,564,566,567,569,570,571,572,573,575,576,579,580,581,582,583,588,590,591,594,596,598,599,604,606,607,612,613,614,620,621,622,623,625,626,627,631,639,640,644,650,651,652,660,661,662,663,664,665,667,670,671,675,680,689,692,693,707,714,717,719,734,854,858
251,290,191,528,140,441,47,746,362,6,128,0,242,366,52,263,14,58,738,289,8,60,625,16,24,289,746,16,245,0,13,95,1,25,80,0,86,210,49,1,22,871,3,98,1,42,13,16,22,77,444,201,0,2,526,3,454,119,241,1515,474,1,243,3,37,222,13,25,26,22,17,13,560,97
63,63,42,116,28,108,14,133,92,1,50,0,80,43,8,78,3,16,175,86,0,16,163,3,1,74,133,3,62,0,3,24,0,12,22,0,21,83,11,0,1,129,0,14,0,15,6,0,5,12,78,28,0,1,89,0,103,22,54,319,137,0,37,0,11,56,2,8,6,5,5,0,116,20
12,6,6,12,7,9,2,17,6,0,8,0,10,11,3,3,0,1,5,13,0,3,12,0,0,7,27,0,0,0,0,0,0,3,1,0,0,9,0,0,0,23,1,3,0,1,0,1,2,1,31,5,0,0,19,0,9,0,6,18,28,0,6,0,0,5,0,0,0,0,1,2,8,0
10,9,14,32,0,32,2,23,13,0,24,0,37,3,1,50,0,1,91,30,0,2,55,1,0,34,36,1,16,0,0,1,0,3,2,0,7,61,25,0,1,11,0,5,0,6,0,0,0,2,13,0,0,0,13,0,35,7,21,192,83,0,3,0,1,12,0,8,3,0,3,0,10,1
281,159,437,408,79,127,16,252,182,10,178,1,183,262,33,133,14,69,389,113,11,60,266,24,14,261,578,30,143,0,4,100,1,22,135,0,43,223,65,3,47,451,9,184,4,35,12,29,10,51,236,75,1,5,372,2,323,124,233,1099,395,10,192,4,56,311,21,20,14,29,13,23,326,80
78,92,121,163,63,165,14,254,201,4,109,0,127,102,7,84,2,34,252,76,4,21,261,3,12,118,318,3,90,0,7,44,0,15,32,0,36,201,40,0,11,363,2,29,0,27,2,7,9,20,205,67,0,1,190,0,172,62,150,1033,222,1,62,1,18,77,9,4,10,11,13,12,109,18
27,15,22,100,4,12,1,33,11,0,6,0,11,8,4,1,1,4,33,8,1,3,7,2,2,15,34,2,5,0,1,6,0,2,3,0,8,20,3,0,1,36,1,12,0,7,0,2,1,6,32,5,0,0,46,0,22,9,30,93,15,0,32,0,6,28,2,4,2,1,1,0,39,5
437,665,451,903,328,823,60,1107,716,11,219,0,440,837,137,294,32,144,1174,392,14,134,876,30,85,526,1341,43,476,1,29,249,3,39,167,1,85,279,63,1,39,1497,4,170,5,57,27,76,34,126,801,457,0,7,1145,4,670,211,432,1694,498,7,449,4,60,473,24,31,29,22,18,28,924,221
298,312,215,698,247,734,57,1118,523,9,195,0,305,422,38,279,15,121,1021,396,7,91,972,10,38,438,785,31,330,0,25,96,0,34,71,0,108,215,68,0,19,813,7,130,1,37,20,24,25,71,532,196,0,9,555,2,690,148,340,1407,823,2,331,5,62,322,10,32,35,22,34,13,800,103
1458,1611,1499,2960,896,2452,213,3685,2106,41,917,1,1435,2055,283,1185,81,449,3881,1403,45,390,3239,89,176,1762,4001,129,1367,1,82,618,5,155,513,1,396,1304,324,5,141,4194,27,645,11,227,80,155,108,366,2372,1034,1,25,2955,11,2478,702,1507,7370,2675,21,1355,17,251,1506,81,132,125,112,105,91,2892,545
29,32,33,66,15,55,5,50,45,0,20,0,24,47,8,40,4,12,109,23,0,6,76,2,4,51,75,4,32,0,0,16,0,2,17,0,6,26,8,0,4,106,0,12,0,7,0,4,3,6,30,18,0,0,59,0,53,21,37,190,38,1,30,0,1,43,4,3,3,3,3,3,45,17
12,6,7,19,7,34,2,17,17,0,3,0,7,10,0,9,1,1,35,15,0,1,44,0,1,21,26,2,7,0,1,2,0,0,4,0,1,11,8,0,0,30,0,8,0,0,0,2,2,1,20,3,0,1,14,0,19,7,20,84,34,0,13,0,1,10,1,3,1,1,0,0,26,4
150,209,184,325,105,279,14,345,245,5,77,0,133,283,51,97,14,55,425,110,6,46,279,8,30,190,502,14,204,0,15,94,0,14,59,0,35,96,20,1,18,493,0,63,1,19,9,29,10,48,272,158,0,2,433,0,252,77,160,564,162,2,153,2,13,186,10,12,12,8,5,12,309,72
41,36,32,80,23,90,10,82,50,0,20,0,35,42,6,19,3,15,118,45,2,7,120,0,6,49,106,4,30,0,1,10,0,3,9,0,11,30,14,0,3,93,0,21,0,4,1,2,4,14,64,20,0,1,70,0,95,22,44,204,95,0,44,0,5,37,2,7,6,3,3,0,110,11
