³Á§J,§f©ú½ç,³¢«ØÀM,¦NÀ±,Ã¹¥@©¯,¿½¯CÀÚ,®]¬L¥ß,¶ÀÞ£¶©,§õ¦wº³,ªL¥ú¤¤,¤j«Ò¤h,¶§¤¶¤¯,¬x¥¿´Ü,ªL«T½å,¥v¶ð§J,¶À¥­¬v,ªL¥ú§»,¶À²M¤å,°¨´µ,ªkÄõ§J,³Í´µ,«Â°Ç,®u¥j©Ô,¦ã«k,§¢¨F¿Õ,³Á¹p¿Õ,´ö¿³¦õ,¹a¤ì«T¶¯,¹ù­z¤¯,³¯ª÷­Z,¤j«Â,¾G¤å½å,³¯¬±¨k,³¯¤j¶¶,½²©ø²»,³ì§¢¨º,ªZ«Ø¦{,§õ©ú¾±,¶¾¤åÀs,¦h¤O¤h,§J©Ô§J,¥ô§Ó°¶,¿½¶³ªF,¥¬¾|¿Õ,Ã¹¨©¦«,Ã¹°ö¯÷,¤Ú«Â¯S,¿c¸Ö²M,«k®Ô
163,440,442,443,444,445,446,447,448,449,451,454,455,456,459,462,465,472,474,477,478,480,481,483,484,485,490,492,493,494,501,502,504,505,506,511,519,520,521,524,526,529,530,531,535,541,542,546,558
68,286,457,129,420,3,451,578,296,41,189,0,288,4,2,0,0,65,100,159,138,21,0,122,181,14,8,31,57,559,1,65,58,218,354,77,57,1,2,14,7,40,0,19,2,2,16,4,139
33,89,89,30,107,2,123,153,65,16,50,0,54,0,1,0,0,16,36,38,28,4,0,59,64,4,3,10,15,164,0,13,16,69,68,26,10,0,0,3,4,15,0,2,0,0,4,1,32
3,4,8,1,7,0,6,14,4,5,8,0,5,0,0,0,0,1,2,4,3,0,0,5,6,1,0,1,1,5,0,7,0,3,13,2,4,0,0,0,0,0,0,0,0,0,1,0,5
6,50,5,21,86,0,31,23,23,7,14,0,10,0,0,0,0,4,33,20,1,3,0,33,65,0,0,4,5,90,0,5,2,40,11,22,3,0,0,0,0,2,0,0,0,0,2,0,9
79,152,216,53,439,1,301,275,296,131,144,2,326,13,4,1,0,61,161,117,80,15,1,109,189,6,10,26,120,348,3,101,71,252,364,58,100,5,6,20,5,52,9,12,9,5,9,2,59
36,202,205,43,235,1,113,223,156,30,103,0,119,1,0,0,0,27,77,78,62,10,1,112,146,2,3,15,23,260,1,45,16,99,144,50,33,2,0,5,5,31,0,7,0,0,11,1,32
6,4,17,7,27,1,20,26,11,10,5,0,3,0,0,0,0,1,9,12,7,2,0,7,12,0,2,1,5,19,0,4,3,3,32,2,11,0,0,0,1,3,2,2,1,0,1,0,0
153,475,898,237,630,10,753,915,627,87,293,4,641,13,5,0,1,155,135,190,270,56,0,174,243,21,31,84,106,794,9,145,106,473,705,122,121,9,3,19,13,71,8,25,1,5,31,3,263
130,430,643,159,485,6,664,871,364,89,207,0,360,4,3,0,0,104,136,174,115,43,0,245,329,14,10,61,60,1006,2,62,84,271,419,86,86,2,1,8,7,34,3,10,1,4,15,2,172
515,1692,2538,680,2436,24,2462,3078,1842,416,1013,6,1806,35,15,1,1,434,689,792,704,154,2,866,1235,62,67,233,392,3245,16,447,356,1428,2111,445,425,19,12,69,42,248,22,77,14,16,90,13,711
13,39,45,23,37,1,40,67,45,0,12,0,49,0,1,0,0,15,15,9,12,4,0,18,22,1,1,2,2,68,1,5,6,45,42,8,1,0,0,0,2,7,0,5,0,0,4,1,15
8,10,15,6,14,1,14,22,9,2,1,0,11,0,0,0,0,1,6,7,3,1,0,4,14,0,0,0,0,39,0,0,1,10,20,2,3,0,0,0,0,1,0,0,0,0,0,0,1
54,154,289,86,214,4,237,292,214,37,78,1,243,4,2,0,1,61,58,48,79,17,0,63,94,8,7,28,29,283,4,49,37,179,243,40,42,2,1,8,3,20,1,10,1,1,11,2,62
15,42,52,16,49,1,53,87,36,9,11,0,46,1,0,0,0,8,12,19,11,4,0,15,30,0,0,3,1,111,1,3,11,36,74,10,6,0,0,3,1,5,0,0,0,0,0,0,10
