陳慶國,楊章鑫,王光熙,曾貴章,吳俊賢,祕雷,多情,翔鷹,路易,郭建成,廖敏雄,李聰富,陳執信,尤伸評,古勝吉,查力士,謝奇勳,美樂黑,愛快,辣銳,喬治,褚志遠,阿諾,馬丁,張正憲,雷蒙,丹尼歐,伯納德,飛力,千代丸亮?,威格,傑恩,卡瑞拉,魯賓,王保文,趙子傑,卜南波,黃俊傑,張瑋
370,372,374,375,377,379,380,382,383,385,387,388,389,391,394,395,396,397,398,399,401,402,404,405,406,407,409,419,421,422,425,426,428,429,434,435,436,438,608
73,59,229,410,29,1,0,15,38,1,253,196,183,19,218,2,57,1,97,14,252,216,3,42,111,14,56,2,4,4,20,36,63,44,1,0,0,152,38
21,19,60,111,1,0,0,1,11,0,77,64,74,4,49,0,10,1,37,2,71,66,0,7,32,0,26,1,0,0,13,14,18,22,0,0,0,30,4
2,2,5,7,2,0,0,0,4,0,7,4,3,0,12,0,3,0,8,0,6,6,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0
9,3,20,31,2,0,0,1,5,0,84,36,24,2,4,0,0,0,9,2,68,38,0,1,12,0,27,1,0,0,5,12,4,2,0,0,0,1,1
75,87,135,226,31,3,0,11,40,1,332,236,135,42,129,3,39,5,117,19,211,182,14,38,71,6,81,6,6,8,20,57,50,37,2,3,3,73,56
47,43,66,160,4,2,0,6,4,0,164,60,74,8,49,0,16,0,81,4,111,134,2,9,46,7,67,2,1,2,22,30,13,9,1,0,3,34,9
3,2,4,5,0,0,0,0,1,0,12,22,5,0,11,0,2,0,5,0,8,18,0,2,8,0,8,0,0,0,3,2,1,3,0,0,0,3,2
123,135,439,605,60,2,0,35,78,1,417,363,386,46,428,5,131,2,156,25,342,402,10,48,273,14,72,2,6,6,22,67,66,77,12,3,2,317,82
92,99,287,301,29,3,1,20,61,0,340,231,335,26,336,1,64,1,137,40,296,312,6,46,186,7,95,6,2,2,24,57,58,38,4,0,0,227,31
445,449,1248,1856,158,11,1,89,242,3,1687,1212,1222,147,1236,11,323,10,647,106,1364,1375,35,193,741,48,432,20,19,22,129,278,276,234,20,6,8,841,223
1,7,30,23,3,0,0,1,2,0,33,27,30,3,14,0,5,0,13,4,44,27,0,1,23,0,6,0,1,0,4,6,6,1,1,1,0,16,6
0,1,8,6,0,0,0,0,2,0,12,11,13,1,6,1,0,0,2,2,5,5,0,0,2,1,3,0,0,0,0,2,2,0,0,0,0,9,0
41,28,152,144,24,1,0,10,27,0,144,141,139,20,165,1,39,2,50,10,115,155,1,16,92,4,28,0,3,2,10,23,19,25,5,1,0,106,26
10,11,31,23,1,0,0,2,7,0,40,28,37,3,34,1,5,0,6,4,27,35,0,6,19,2,10,1,0,0,2,7,5,2,0,0,0,26,3
