林哲瑄,蔣智賢,張正偉,石翔宇,方克偉,林益全,姚冠瑋,胡金龍,林宥穎,李宗賢,楊晉豪,陳凱倫,高國輝,申皓瑋,高孝儀,張冠廷,王正棠,范國宸,于森旭,林威廷,辛元旭,張進德,王詩聰,陳品捷,戴培峰,高國麟
1,5,6,7,8,9,10,15,20,22,23,24,28,29,32,33,35,46,51,64,67,69,84,93,95,98
46,60,48,2,1,82,1,36,43,117,7,33,53,41,27,1,35,48,7,0,39,48,0,4,14,53
9,12,6,0,0,18,1,7,11,25,1,11,26,14,7,0,10,18,3,0,9,12,1,1,9,16
0,0,2,0,0,0,0,0,2,4,0,2,0,1,1,0,1,2,0,0,0,0,0,0,1,0
9,13,2,0,0,22,0,6,3,5,1,1,25,8,2,0,3,5,0,0,1,9,0,2,5,16
50,52,42,6,2,69,3,21,50,89,18,35,86,72,20,3,31,54,11,1,24,22,6,10,31,74
28,28,26,0,0,33,0,13,10,28,2,11,32,13,6,0,8,17,3,0,9,19,1,2,8,30
10,3,3,1,2,1,0,0,0,4,1,5,1,6,0,0,3,1,0,0,4,0,0,0,2,8
38,84,52,3,10,114,2,48,79,138,12,57,61,54,29,2,43,75,16,2,55,49,3,9,27,76
71,55,46,2,5,88,6,45,55,116,15,34,97,41,29,2,70,61,16,0,39,61,3,14,30,65
261,307,227,14,20,427,13,176,253,526,57,189,381,250,121,8,204,281,56,3,180,220,14,42,127,338
4,15,6,0,1,10,0,2,4,12,1,7,7,5,2,0,1,9,0,0,6,6,0,2,5,6
2,1,1,1,0,2,0,4,2,2,0,1,5,0,0,0,1,3,0,0,2,0,0,1,3,2
12,37,18,1,4,29,0,14,35,48,4,26,21,22,10,0,16,29,7,1,20,17,0,5,15,23
8,4,3,1,1,11,0,4,7,11,0,6,16,3,3,0,4,4,3,0,5,3,0,3,4,8
