¸­¦Ë°a,ªL©Ó­¸,³¢¥Ãºû,¸â´¼³ó,¤ý¬f¿Ä,ªLªl¨|,³¢ÄY¤å,¶§Ä£¾±,·¨©§§¡,¶À¯EµM,³¯«T¨q,ªLª¾ÅA,¦¨®Ê,§E¼wÀs,ªL¥ß,¶¾°·®x,³\¬êÀ¢,Áé©Ó¯§,¹ù°·´I,¼B®É»¨,ÄY§»¶v,ªL´¼¥­,¶À·qÞ³,¦¶¨|½å,±i¶{³Ô,ÂÅ±G­Û,±ç®aºa,³¯±á«Â,ªL¬F»õ
1,6,7,8,9,11,21,23,25,27,29,34,35,36,39,45,47,57,58,60,62,79,82,85,86,88,97,98,99
1,46,75,25,107,64,70,25,0,1,94,0,3,14,70,0,1,9,80,51,15,33,10,76,1,110,24,1,1
0,17,10,5,32,22,23,5,0,0,31,0,0,3,18,0,0,1,21,11,4,7,4,16,0,20,3,0,0
0,2,2,0,3,1,1,0,0,0,3,0,0,0,2,0,0,0,2,0,0,1,2,0,0,1,0,0,0
0,5,0,1,17,6,10,3,0,0,17,1,0,0,7,0,1,0,10,0,0,0,2,12,0,15,1,0,0
2,64,34,17,63,45,37,27,1,5,74,2,6,11,82,0,2,9,40,29,14,21,23,71,1,66,20,3,1
0,10,10,12,63,19,27,11,1,1,45,1,1,2,16,0,0,3,41,26,5,11,10,32,0,20,8,0,0
0,3,0,4,16,7,2,0,0,0,3,0,0,1,2,0,0,0,3,4,0,1,0,2,0,3,0,0,0
0,54,78,46,102,70,93,36,1,5,80,1,9,23,64,1,1,20,87,78,19,66,16,91,1,111,32,3,2
1,54,63,23,131,65,98,31,2,1,95,0,7,22,74,1,0,15,59,65,14,43,10,66,4,118,23,4,2
4,255,272,133,534,299,361,138,5,13,443,5,26,76,335,2,5,57,345,266,71,184,77,366,7,464,112,11,6
0,5,11,4,7,8,6,0,0,0,13,0,1,2,6,0,0,1,5,6,3,5,2,8,0,7,0,1,1
0,5,1,1,2,1,6,0,0,0,5,0,0,1,3,0,0,1,4,1,0,3,0,6,0,2,0,0,0
0,19,37,18,38,23,29,6,0,2,36,0,2,6,29,1,0,7,37,36,11,19,8,32,0,31,14,3,1
0,6,5,2,12,6,14,4,0,0,11,0,0,4,9,0,0,2,6,3,0,7,1,13,1,16,3,0,0
